ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
2MI6,small_airport,The Farm Airport,809,NA,US,US-MI,Whittemore,2MI6,,2MI6,"-83.760913, 44.28743"
2MI7,small_airport,Flugplatz Airport,700,NA,US,US-MI,Lexington,2MI7,,2MI7,"-82.55220031738281, 43.346900939941406"
2MI8,small_airport,Vassar Field,675,NA,US,US-MI,Vassar,2MI8,,2MI8,"-83.53520202636719, 43.34339904785156"
2MI9,small_airport,Capen Airport,1015,NA,US,US-MI,Mecosta,2MI9,,2MI9,"-85.31780242919922, 43.62419891357422"
2MN0,small_airport,Pribbs Field,818,NA,US,US-MN,East Grand Forks,2MN0,,2MN0,"-97.01629638671875, 48.08209991455078"
2MN1,small_airport,Winter Strip,1040,NA,US,US-MN,Gluek,2MN1,,2MN1,"-95.4645004272461, 45.04610061645508"
2MN2,small_airport,Dreamcatcher Airport,1250,NA,US,US-MN,Jacobson,2MN2,,2MN2,"-93.29789733886719, 46.940399169921875"
2MN3,heliport,Chippewa County Hospital Heliport,1024,NA,US,US-MN,Montevideo,2MN3,,2MN3,"-95.71179962158203, 44.952598571777344"
2MN5,closed,Pelican Lake Seaplane Base,1288,NA,US,US-MN,Orr,,,,"-92.856003, 48.057999"
2MN6,small_airport,Van Norman's Airport,1100,NA,US,US-MN,St Charles,2MN6,,2MN6,"-92.09290313720703, 44.04719924926758"
2MN7,small_airport,Fussy Airport,1100,NA,US,US-MN,North Prairie,2MN7,,2MN7,"-94.3407974243164, 45.79159927368164"
2MN8,small_airport,Trygstad Airport,1227,NA,US,US-MN,Rochester,2MN8,,2MN8,"-92.33570098876953, 43.99610137939453"
2MN9,small_airport,F. Dillenburg Airport,1295,NA,US,US-MN,Foley,2MN9,,2MN9,"-93.99530029296875, 45.82440185546875"
2MO0,small_airport,Fletcher Field,805,NA,US,US-MO,Centerview,2MO0,,2MO0,"-93.86419677734375, 38.799400329589844"
2MO1,small_airport,Bird Field,1250,NA,US,US-MO,Willard,2MO1,,2MO1,"-93.4198989868164, 37.31999969482422"
2MO2,small_airport,Northwood Airport,1000,NA,US,US-MO,Holt,2MO2,,2MO2,"-94.30799865722656, 39.46419906616211"
2MO3,heliport,Independence Regional Health Center Heliport,952,NA,US,US-MO,Independence,2MO3,,2MO3,"-94.4352035522461, 39.094398498535156"
2MO4,small_airport,Breckenridge Airport,805,NA,US,US-MO,Rockville,2MO4,,2MO4,"-94.17669677734375, 38.11439895629883"
2MO5,small_airport,Pegasus Ranch Aerodrome,1430,NA,US,US-MO,Houston,2MO5,,2MO5,"-92.21070098876953, 37.38199996948242"
2MO6,small_airport,Hunziker Airport,890,NA,US,US-MO,Hurdland,2MO6,,2MO6,"-92.29769897460938, 40.134498596191406"
2MO7,small_airport,Fawn Lake Airport,750,NA,US,US-MO,Warrenton,2MO7,,2MO7,"-91.08609771728516, 38.86669921875"
2MO8,small_airport,Frerer Strip,1020,NA,US,US-MO,Carthage,2MO8,,2MO8,"-94.36409759521484, 37.135101318359375"
2MO9,small_airport,Runway Ranch Airport,929,NA,US,US-MO,Kansas City,2MO9,,2MO9,"-94.45020294189453, 38.95000076293945"
2MS0,heliport,Tgp Station 851 Heliport,420,NA,US,US-MS,New Albany,2MS0,,2MS0,"-89.01329803466797, 34.538299560546875"
2MS1,heliport,Tgp Station 843 Heliport,105,NA,US,US-MS,Isola,2MS1,,2MS1,"-90.57749938964844, 33.235599517822266"
2MS2,closed,TGP Station 54 Heliport,120,NA,US,US-MS,Greenville,,,,"-91.054701, 33.357201"
2MS3,closed,TGP Station 542 Heliport,305,NA,US,US-MS,De Kalb,,,,"-88.660004, 32.638901"
2MS4,heliport,Tgp Station 546 Heliport,219,NA,US,US-MS,Columbus,2MS4,,2MS4,"-88.36170196533203, 33.44919967651367"
2MS5,heliport,Tgp Station 847 Heliport,245,NA,US,US-MS,Coffeeville,2MS5,,2MS5,"-89.7842025756836, 33.906898498535156"
2MS6,heliport,Tgp Station 63 Heliport,175,NA,US,US-MS,Batesville,2MS6,,2MS6,"-90.07219696044922, 34.29610061645508"
2MS7,small_airport,Puff Airpark,400,NA,US,US-MS,Puckett,2MS7,,2MS7,"-89.81670379638672, 32.05849838256836"
2MS8,small_airport,Spencer Field,175,NA,US,US-MS,Grenada,2MS8,,2MS8,"-89.87439727783203, 33.78969955444336"
2MS9,small_airport,Kimmel Land & Cattle Airport,265,NA,US,US-MS,Houston,2MS9,,2MS9,"-88.92279815673828, 33.83000183105469"
2MT0,small_airport,Bates Airstrip,3110,NA,US,US-MT,Kalispell,2MT0,,2MT0,"-114.41400146484375, 48.29999923706055"
2MT1,small_airport,Ryan Field,3660,NA,US,US-MT,West Glacier,2MT1,,2MT1,"-113.95899963378906, 48.48310089111328"
2MT2,small_airport,Braidwater Farm Airport,2910,NA,US,US-MT,Kalispell,2MT2,,2MT2,"-114.25800323486328, 48.20000076293945"
2MT3,heliport,Community Medical Center Heliport,3160,NA,US,US-MT,Missoula,2MT3,,2MT3,"-113.99099731445312, 46.86989974975586"
2MT4,heliport,River Bend Ranch Heliport,3010,NA,US,US-MT,Ferndale,2MT4,,2MT4,"-113.99600219726562, 48.082801818847656"
2MT5,small_airport,Briar Creek Airport,5175,NA,US,US-MT,Bozeman,2MT5,,2MT5,"-111.1520004272461, 45.59410095214844"
2MT6,heliport,Sun River Ranch Heliport,4450,NA,US,US-MT,Augusta,2MT6,,2MT6,"-112.6719970703125, 47.599998474121094"
2MT7,heliport,Barnaby Lake Medivac Site Heliport,3034,NA,US,US-MT,Fortine,2MT7,,2MT7,"-114.968444, 48.778194"
2MT8,small_airport,South Boulder Airport,4560,NA,US,US-MT,Cardwell,2MT8,,2MT8,"-111.9259, 45.8151"
2MT9,small_airport,Gold Creek Airport,4956,NA,US,US-MT,Drummond,2MT9,,2MT9,"-112.983333, 46.513889"
2MU0,heliport,St Genevieve County Memorial Hospital Heliport,424,NA,US,US-MO,St Genevieve,2MU0,,2MU0,"-90.05439758300781, 37.96849822998047"
2MU1,heliport,Saint Louis Children's Hospital Heliport,610,NA,US,US-MO,Saint Louis,2MU1,,2MU1,"-90.26110076904297, 38.6349983215332"
2MU9,small_airport,Monroe Field,710,NA,US,US-MO,Hawk Point,2MU9,,2MU9,"-91.11810302734375, 38.965599060058594"
2MY2,small_airport,Zarn Airport,1050,NA,US,US-MN,Amboy,2MY2,,2MY2,"-94.274667, 43.907417"
2MY3,heliport,Cambridge Medical Center Heliport,980,NA,US,US-MN,Cambridge,2MY3,,2MY3,"-93.231361, 45.56545"
